url,price,building
http://gz.kongjianjia.com/xiezilou/129282,4,富力天河商务大厦
http://gz.kongjianjia.com/xiezilou/114682,17.2,海航大厦
http://gz.kongjianjia.com/xiezilou/161001,4,中旅商务大厦
http://gz.kongjianjia.com/xiezilou/132004,3.67,广州星光映景A中心
http://gz.kongjianjia.com/xiezilou/115152,4.95,保利中汇广场
http://gz.kongjianjia.com/xiezilou/129061,4.33,天伦控股大厦
http://gz.kongjianjia.com/xiezilou/168614,2.94,中侨大厦
http://gz.kongjianjia.com/xiezilou/119661,3.17,汇华商贸大厦
http://gz.kongjianjia.com/xiezilou/118065,4.45,中泰国际广场
http://gz.kongjianjia.com/xiezilou/131084,3.17,东山广场
http://gz.kongjianjia.com/xiezilou/139989,3.94,威尼国际大厦
http://gz.kongjianjia.com/xiezilou/119470,3.79,鸿德大厦
http://gz.kongjianjia.com/xiezilou/119633,4.33,财润国际大厦
http://gz.kongjianjia.com/xiezilou/146421,3.82,广州世界贸易中心
http://gz.kongjianjia.com/xiezilou/122767,17.32,广州中华广场中华国际中心
http://gz.kongjianjia.com/xiezilou/139149,4,市政中环大厦
http://gz.kongjianjia.com/xiezilou/168043,4.23,江湾商业中心
http://gz.kongjianjia.com/xiezilou/139252,3.84,广东国际大厦
http://gz.kongjianjia.com/xiezilou/155940,4.35,保利国际广场
http://gz.kongjianjia.com/xiezilou/167138,3.27,东照大厦
http://gz.kongjianjia.com/xiezilou/168127,3.84,保利世界贸易中心
http://gz.kongjianjia.com/xiezilou/133456,14.26,达信大厦
http://gz.kongjianjia.com/xiezilou/134151,4,金鹰大厦
http://gz.kongjianjia.com/xiezilou/166340,3.33,越秀城市广场
http://gz.kongjianjia.com/xiezilou/156135,2.66,广州国际采购中心
http://gz.kongjianjia.com/xiezilou/121626,4.33,壬丰商务大厦
http://gz.kongjianjia.com/xiezilou/129194,2.66,天诚广场
http://gz.kongjianjia.com/xiezilou/168152,3.96,中洲交易中心
http://gz.kongjianjia.com/xiezilou/198140,3,广百商务楼
http://gz.kongjianjia.com/xiezilou/167990,3.84,环汇商业广场
http://gz.kongjianjia.com/xiezilou/115696,2.5,现象工场
http://gz.kongjianjia.com/xiezilou/170412,4.5,保利叁悦广场
http://gz.kongjianjia.com/xiezilou/116357,4,广州智汇park
http://gz.kongjianjia.com/xiezilou/169452,2.17,森汇大厦
http://gz.kongjianjia.com/xiezilou/168146,3.83,西门口广场
http://gz.kongjianjia.com/xiezilou/153401,3.5,和业广场
http://gz.kongjianjia.com/xiezilou/179156,2.48,冠泓商务中心
http://gz.kongjianjia.com/xiezilou/196598,1.3,康乃馨商贸大厦
http://gz.kongjianjia.com/xiezilou/180415,2.67,中铁·诺德中心
http://gz.kongjianjia.com/xiezilou/191582,2.67,祈福集团中心
